Year,Artist,Gender
2015,Florence and the Machine,F
2015,The Libertines,M
2015,Motörhead,M
2015,Mary J. Blige,F
2015,Alabama Shakes,M
2015,James Bay,M
2015,Chronixx,M
2015,Michael Clark Company,M
2015,Kanye West,M
2015,Pharrell Williams,M
2015,Paloma Faith,F
2015,Burt Bacharach,M
2015,George Ezra,M
2015,The Waterboys,M
2015,Courtney Barnett,F
2015,The Unthankswith Orchestra,M
2015,The Who,M
2015,Paul Weller,M
2015,Alt-J,M
2015,Lionel Richie,M
2015,Patti Smith,F
2015,Hozier,M
2015,Songhoy Blues,M
2015,Burtle Silver Band,M
2015,Rudimental,M
2015,Mark Ronson,M
2015,The Courteeners,M
2015,The Vaccines,M
2015,Jungle,M
2015,Catfish and the Bottlemen,M
2015,Everything Everything,M
2015,The Cribs,M
2015,The Charlatans,M
2015,Deadmau5,M
2015,Ben Howard,M
2015,The Maccabees,M
2015,Clean Bandit,M
2015,Ella Eyre,F
2015,Young Fathers,M
2015,The Strypes,M
2015,Frank Turner,M
2015,Swim Deep,M
2015,The Chemical Brothers,M
2015,Jamie T,M
2015,Belle & Sebastian,M
2015,Future Islands,M
2015,Twin Atlantic,M
2015,Palma Violets,M
2015,Adam Cohen,M
2015,SOAK,NB
2015,Rival Sons,M
2015,Enter Shikari,M
2015,Modestep,M
2015,SBTRKT,M
2015,Peace,M
2015,Chet Faker,M
2015,The Districts,M
2015,Leon Bridges,M
2015,Rainy Boy Sleep,M
2015,Hinds,F
2015,Weaves,M
2015,Suede,M
2015,La Roux,F
2015,Death from Above 1979,M
2015,Jessie Ware,F
2015,Years & Years,M
2015,The Pop Group,M
2015,Sleaford Mods,M
2015,Slaves,M
2015,Coasts,M
2015,Sunset Sons,M
2015,Isaac Lee-Kronick,M
2015,Franz Ferdinand & Sparks,M
2015,Death Cab for Cutie,M
2015,Lianne La Havas,F
2015,Charli XCX,F
2015,Django Django,M
2015,Alvvays,F
2015,Prides,M
2015,Saint Raymond,M
2015,Mini Mansions,M
2015,Gengahr,M
2015,Lucy Kitchen,F
2015,Hot Chip,M
2015,Caribou,M
2015,Run The Jewels,M
2015,The Gaslamp Killer Experience,M
2015,Kasai Allstars,M
2015,Marcos Valle,M
2015,Dorian Concept,M
2015,The Cambodian Space Project,F
2015,"The Mothership Returns:George Clinton,Parliament,Funkadelic, &The Family Stone",M
2015,Todd Terje & The Olsens,M
2015,Vintage Trouble,M
2015,Gregory Porter,M
2015,Soil & Pimp Sessions,M
2015,Sinkane,M
2015,Jane Weaver,F
2015,K.O.G. & The Zongo Brigade,M
2015,Flying Lotus,M
2015,FKA Twigs,NB
2015,Roy Ayers,M
2015,Steel Pulse,M
2015,Cumbia All Stars,M
2015,Hiatus Kaiyote,M
2015,Ibibio Sound Machine,M
2015,Flamingods,M
2015,Super Furry Animals,M
2015,Jamie xx,M
2015,Sharon Van Etten,F
2015,Benjamin Booker,M
2015,Wolf Alice,F
2015,Glass Animals,M
2015,Shlomo,M
2015,King Gizzard & the Lizard Wizard,M
2015,Pussy RiotIn Conversation,F
2015,Rhodes,M
2015,Jon Hopkins,M
2015,Spiritualized,M
2015,Mavis Staples,M
2015,Father John Misty,M
2015,Kae Tempest,NB
2015,Gaz Coombes,M
2015,Giant Sand,M
2015,Ibeyi,F
2015,Eaves,M
