Year,Artist
2015,Florence and the Machine(replacedFoo Fighters)
2015,The Libertines(special guests)
2015,Motörhead
2015,Mary J. Blige
2015,Alabama Shakes
2015,James Bay
2015,Chronixx
2015,Michael Clark Company
2015,Kanye West
2015,Pharrell Williams
2015,Paloma Faith
2015,Burt Bacharach
2015,George Ezra
2015,The Waterboys
2015,Courtney Barnett
2015,"The Unthankswith Orchestra, conducted byCharles Hazlewood"
2015,The Who
2015,Paul Weller
2015,Alt-J
2015,Lionel Richie
2015,Patti Smith
2015,Hozier
2015,Songhoy Blues
2015,Burtle Silver Band
2015,Rudimental
2015,Mark Ronson
2015,The Courteeners
2015,The Vaccines
2015,Jungle
2015,Catfish and the Bottlemen
2015,Everything Everything
2015,The Cribs
2015,The Charlatans
2015,Deadmau5
2015,Ben Howard
2015,The Maccabees
2015,Clean Bandit
2015,Ella Eyre
2015,Young Fathers
2015,The Strypes(replacedAzealia Banks)
2015,Frank Turner
2015,Swim Deep
2015,The Chemical Brothers
2015,Jamie T
2015,Belle & Sebastian
2015,Future Islands
2015,Twin Atlantic
2015,Palma Violets
2015,Adam Cohen
2015,SOAK
2015,Rival Sons
2015,Enter Shikari
2015,Modestep
2015,SBTRKT
2015,Peace
2015,Chet Faker
2015,The Districts
2015,Leon Bridges
2015,Rainy Boy Sleep
2015,Hinds
2015,Weaves
2015,Suede
2015,La Roux
2015,Death from Above 1979
2015,Jessie Ware
2015,Years & Years
2015,The Pop Group
2015,Sleaford Mods
2015,Slaves
2015,Coasts
2015,Sunset Sons
2015,Isaac Lee-Kronick
2015,FFS(Franz Ferdinand&Sparks)
2015,Death Cab for Cutie
2015,Lianne La Havas
2015,Charli XCX
2015,Django Django
2015,Alvvays
2015,Prides
2015,Saint Raymond
2015,Mini Mansions
2015,Gengahr
2015,Lucy Kitchen
2015,Hot Chip
2015,Caribou
2015,Run The Jewels
2015,The Gaslamp Killer Experience
2015,Kasai Allstars
2015,Marcos Valle
2015,Dorian Concept
2015,The Cambodian Space Project
2015,"The Mothership Returns:George Clinton,Parliament,Funkadelic, &The Family Stone"
2015,Todd Terje & The Olsens
2015,Vintage Trouble
2015,Gregory Porter
